 train         node      observed        predicted
     y             1    6.026200E-01    2.716678E-01
     y             1   -3.745977E-01    9.527037E-02
     y             1    4.201063E-01    1.694607E-01
     y             1    1.047018E-01    2.263663E-01
     y             1    3.396489E-01    2.318338E-01
     y             1   -2.763432E-01    2.192776E-01
     n             1              NA    1.851194E-01
     y             1    3.315404E-01    3.392704E-01
     y             1    1.040626E-01    1.887691E-01
     y             1   -5.034333E-02    1.819335E-01
     y             1    1.695559E-01    9.613336E-02
     y             1   -3.200516E-02    1.121881E-01
     y             1    1.450396E-01    1.033217E-01
     y             1    8.140425E-01    1.386775E-01
     y             1    2.654624E-01    1.403270E-01
     y             1   -3.157283E-01   -6.171378E-02
     y             1    1.110539E-01    1.344607E-01
     y             1    4.815345E-01    1.680654E-01
     y             1    6.487324E-01    3.746522E-01
     y             1    1.343224E-01    2.447847E-01
     y             1   -3.494195E-01    1.470498E-01
     y             1    1.668253E-01    4.969159E-02
     y             1    2.911757E-01    1.307415E-01
     y             1    1.200503E+00    2.589793E-01
     y             1    3.477067E-01    2.254141E-01
     y             1    4.106689E-01    7.503875E-02
     n             1              NA    1.625837E-01
     y             1    4.322196E-01    7.405810E-02
     y             1    6.270307E-01    2.192421E-01
     y             1    4.814431E-01    6.736841E-02
     y             1    8.263065E-01    2.866993E-01
     y             1    4.057376E-01    1.891812E-01
     y             1    2.732586E-01    1.962017E-01
     y             1    1.719110E-01    1.507365E-01
     y             1    5.099684E-01    2.882846E-01
     y             1    2.566416E-01    4.698762E-02
     y             1   -1.108702E-01    5.520681E-02
     y             1    2.842180E-01    1.606186E-01
     y             1    2.693689E-01   -1.307356E-03
     y             1    6.453585E-01    1.393531E-01
     y             1   -1.905550E-01    5.851834E-02
     y             1    6.223991E-02    2.670772E-01
     y             1    3.871842E-01    2.405575E-01
     y             1   -8.754052E-02    2.722964E-01
     y             1    2.215977E-01    2.065045E-02
     n             1              NA    3.062434E-01
     y             1   -6.058532E-02    1.908297E-01
     y             1    3.523963E-01    4.384126E-02
     y             1   -9.701472E-02    1.437699E-01
     y             1    3.677458E-01    1.497541E-01
     y             1    8.951859E-01    3.253386E-01
     y             1    2.527660E-01    2.699017E-01
     y             1    4.042352E-01    1.358629E-01
     y             1    3.002334E-01    6.464403E-02
     y             1    1.490253E-01    1.349515E-01
     y             1   -1.385945E-01    1.298940E-01
     y             1    6.189112E-01    9.370929E-02
     y             1    3.828602E-01    2.602882E-01
     y             1    1.324851E-01    1.131661E-01
     y             1    8.950384E-02    1.265515E-01
     y             1    3.894333E-01    1.593317E-01
     y             1    1.548875E-02    1.202536E-01
     y             1    4.665688E-01    2.579189E-01
     y             1    8.587344E-02    1.468394E-01
     y             1   -5.041591E-02    1.274651E-01
     y             1   -1.438411E-01    4.241404E-03
     y             1    1.575452E-01    1.301165E-01
     y             1    2.785516E-02    2.521086E-01
     y             1   -5.883843E-01    2.620252E-01
     y             1   -1.220705E-01    4.511401E-02
     y             1    4.096688E-01    2.798411E-01
     y             1    9.698228E-02    9.976176E-02
     n             1              NA    5.684761E-02
     y             1    2.250466E-01    2.574942E-01
     y             1    2.699953E-01    1.938600E-01
     y             1   -3.968177E-01    2.025419E-01
     y             1   -1.031028E-01    6.572666E-02
     y             1    5.284392E-01    8.165749E-02
     y             1    4.923141E-01    1.694968E-01
     y             1   -4.698935E-02    3.272202E-02
     n             1              NA    7.639307E-02
     y             1   -3.091034E-01    1.598507E-01
     y             1    9.572566E-01    2.163754E-01
     n             1              NA    2.929229E-01
     y             1    3.626926E-01    1.329091E-01
     y             1   -4.790688E-01    8.908613E-02
     y             1    7.055422E-01    1.885023E-01
     y             1    4.632619E-01    1.399675E-01
     y             1   -2.986764E-01    1.551781E-01
     y             1    8.385799E-02    1.795509E-01
     y             1   -7.765264E-02    1.974737E-01
